"source","target","pathway_name","prob","pval"
"C3","C5","PTN",0.00596854995266084,0
"C3","C5","SEMA3",0.00112996269710902,0
"C3","C5","SEMA5",0.0003761873518475,0
"C3","C5","SEMA6",0.00166007227274008,0.00166666666666667
"C3","C5","TENASCIN",1.66837942587911e-05,0.025
"C3","C5","TGFb",0.000500562769911741,0
"C3","C5","THBS",0.00110068132634519,0
"C3","C5","THY1",5.25580849289576e-05,0
"C3","C5","VEGF",0.000986824553974456,0
"C3","C5","VWF",0.00554141318042112,0
"C3","C5","ncWNT",1.57495385507224e-05,0.0075
"C3","C6","AGRN",0.000207140680232317,0
"C3","C6","FGF",0.00012477354930463,0.02
"C3","C6","GALECTIN",0.000146999309417264,0.005
"C3","C6","HSPG",0.000648277615870366,0.02
"C3","C6","IGF",6.92671833628173e-05,0.02
"C3","C6","IL6",0.000112220260261601,0
"C3","C6","JAM",0.00153919903155316,0.01
"C3","C6","LAMININ",0.0163926777509682,0.008
"C3","C6","MK",0.00103935320289035,0
"C3","C6","VEGF",0.000564599439082259,0.01
"C3","C7","ANGPTL",0.000164045927336527,0
"C3","C7","ANNEXIN",0.118339366907082,0
"C3","C7","COLLAGEN",0.0654882087210032,0
"C3","C7","COMPLEMENT",0.000340088676911405,0
"C3","C7","CXCL",0.013608648400155,0
"C3","C7","FGF",0.000144682384655136,0.01
"C3","C7","FN1",0.00772396768650773,0
"C3","C7","GALECTIN",0.0029050079684985,0
"C3","C7","ICAM",0.0255408682347651,0
"C3","C7","IGF",8.34779132973667e-05,0.005
"C3","C7","IL1",0.000465705203139623,0
"C3","C7","IL6",9.94399129511369e-05,0
"C3","C7","JAM",0.00276396106459701,0.0133333333333333
"C3","C7","LAMININ",0.0677348904663971,0
"C3","C7","MK",0.00217782727465001,0.015
"C3","C7","NOTCH",0.000623909224261191,0.0125
"C3","C7","SEMA5",4.01698134802418e-06,0.01
"C3","C7","THBS",0.017680716197884,0.02
"C3","C7","THY1",0.000385790306829109,0
"C3","C7","VEGF",0.000346019081248698,0.04
"C3","C8","ANGPT",0.00254205613065426,0
"C3","C8","ANGPTL",0.000731028274070842,0.00333333333333333
"C3","C8","APP",0.0842719291754554,0
"C3","C8","BMP",0.000266177054560492,0
"C3","C8","CALCR",0.00399377721644415,0
"C3","C8","CD34",0.0909559095271828,0
"C3","C8","CD46",0.00837455521846357,0
"C3","C8","CDH5",0.0536391086485585,0
"C3","C8","COLLAGEN",0.0521949992619651,0.01
"C3","C8","EDN",0.00264314922840122,0
