"Condition","CM_Score","Ferro_Score","OXPHOS","Ferro_Def","NDUFB7"
"Donor",0.468892692807472,0.173395569870788,0.346573590279973,0.115524530093324,0
"Donor",0.976766811365786,-0.220897359639079,0.173286795139986,0,0
"DCM",0.304523438324449,0.202812285392364,0.173286795139986,0,0
"Donor",1.14761217175906,-0.146746826204969,0.447939867307014,0.231049060186648,0
"DCM",0.649972945537008,0.116975044613203,0,0.183102048111352,0
"DCM",0.6192704044278,-0.167439967221539,0.173286795139986,0.115524530093324,0
"Donor",1.36954241114412,-0.160839023460201,0.621226662447,0.115524530093324,0
"Donor",0.966475365481149,-0.210640422848432,0.173286795139986,0.115524530093324,0
"Donor",1.10401138480872,0.244860735443285,0.173286795139986,0.115524530093324,0
"Donor",0.556321754461466,-0.14465815053317,0,0.231049060186648,0
"Donor",1.01982736461569,0.00618058322455184,0.693147180559945,0.414151108298,0
"Donor",0.510210672629079,0.313029695900088,0,0.451341700183702,1
"Donor",0.839382029885771,0.0826151628890334,0.346573590279973,0,0
"Donor",1.00226602771159,-0.131348985038505,0.519860385419959,0.115524530093324,0
"DCM",0.175302415003326,-0.0413186802829622,0,0.115524530093324,0
"Donor",0.522835876930647,0.176900240950669,0.346573590279973,0.183102048111352,0
"Donor",0.909885903271115,0.190445497307636,0.173286795139986,0.115524530093324,0
"DCM",1.09365685953605,-0.287447626455404,0.794513457586986,0,1
"Donor",2.64535219813998,-0.0151265606333282,1.03972077083992,0.183102048111352,1
"Donor",0.72058796544261,-0.0126688595189683,0.447939867307014,0.115524530093324,0
"Donor",1.27847985685975,0.090249760822224,0.173286795139986,0.115524530093324,0
"Donor",0.536048698060763,0.0218213191337545,0.346573590279973,0.346573590279973,0
"DCM",0.582987804926863,-0.225987837120676,0,0,0
"Donor",1.15362643074561,0.194504303084143,0.447939867307014,0.115524530093324,0
"Donor",1.05076447231221,0.140439711322369,0.173286795139986,0.183102048111352,0
"DCM",0.413506356962089,-0.13726238654727,0,0,0
"Donor",1.34276519214326,0.0868542165716923,0.346573590279973,0.231049060186648,0
"Donor",0.770468671447506,0.163214662352849,0.173286795139986,0.231049060186648,0
"Donor",1.34489346765916,-0.0262629625010891,0.173286795139986,0.346573590279973,0
"Donor",1.17448463396523,0.212975398211011,0.346573590279973,0.183102048111352,0
"DCM",0.0920303263266788,0.266103508405674,0.519860385419959,0.231049060186648,0
"Donor",0.451588540439867,-0.135408283395116,0,0,0
"Donor",0.463006480178147,0.0870659383296794,0.274653072167027,0.115524530093324,0
"Donor",0.659107896916246,0.233916213256438,0.173286795139986,0.115524530093324,0
"Donor",0.723454787962132,-0.0841790248031224,0.519860385419959,0,0
"Donor",0.862615041651351,-0.258922056889684,0,0,0
"DCM",0.314810183851841,-0.134205220838887,0,0,0
"Donor",1.07562804576664,-0.109737621710224,0.519860385419959,0.115524530093324,0
"DCM",1.15715477689599,0.429718420049124,0.447939867307014,0.298626578204676,0
"Donor",0.655181944847642,-0.119093259665449,0,0.183102048111352,0
"Donor",0.768017004276906,-0.175561719805173,0,0.324318358175886,1
"DCM",0.505134212112583,-0.12021765550772,0.346573590279973,0.115524530093324,0
"Donor",0.987783745603383,-0.14239118886779,0.794513457586986,0.231049060186648,0
"Donor",0.183206289370034,0.10100299759766,0.519860385419959,0.414151108298,0
"Donor",0.990734070650067,0.29108978403199,0,0.231049060186648,0
"Donor",0.531868003721512,0.479275622791377,0.519860385419959,0.462098120373297,0
"Donor",0.178900575117758,-0.131021833247073,0.346573590279973,0.115524530093324,0
"Donor",0.849709247654042,0.125707802623276,0.722592939474041,0.231049060186648,0
"DCM",0.480193367429121,-0.26169520410998,0.346573590279973,0.115524530093324,0
"Donor",1.03093425637959,-0.108388455922666,0.621226662447,0.115524530093324,0
"Donor",0.249033757153476,-0.137191801036114,0,0.115524530093324,1
"Donor",0.976249921911942,0.00412138084499131,0.447939867307014,0.298626578204676,1
