dataset,ndufb7_expression
GSE168742_human_HF_CM,382.603
GSE168742_human_HF_CM,52.4361
GSE168742_human_HF_CM,396.088
GSE168742_human_HF_CM,165.227
GSE168742_human_HF_CM,142.97
GSE168742_human_HF_CM,13.049
GSE168742_human_HF_CM,347.336
GSE168742_human_HF_CM,76.4125
GSE168742_human_HF_CM,415.505
GSE168742_human_HF_CM,346.616
GSE168742_human_HF_CM,43.755
GSE168742_human_HF_CM,284.984
GSE168742_human_HF_CM,295.391
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,139.386
GSE168742_human_HF_CM,123.115
GSE168742_human_HF_CM,302.485
GSE168742_human_HF_CM,356.758
GSE168742_human_HF_CM,17.2617
GSE168742_human_HF_CM,147.756
GSE168742_human_HF_CM,507.985
GSE168742_human_HF_CM,323.068
GSE168742_human_HF_CM,144.272
GSE168742_human_HF_CM,22.2381
GSE168742_human_HF_CM,47.4708
GSE168742_human_HF_CM,81.0943
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,271.107
GSE168742_human_HF_CM,188.348
GSE168742_human_HF_CM,50.5457
GSE168742_human_HF_CM,341.74
GSE168742_human_HF_CM,234.107
GSE168742_human_HF_CM,275.577
GSE168742_human_HF_CM,236.451
GSE168742_human_HF_CM,112.69
GSE168742_human_HF_CM,259.827
GSE168742_human_HF_CM,105.882
GSE168742_human_HF_CM,115.124
GSE168742_human_HF_CM,177.789
GSE168742_human_HF_CM,94.5861
GSE168742_human_HF_CM,74.3364
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,314.273
GSE168742_human_HF_CM,0.539922
GSE168742_human_HF_CM,13.3199
GSE168742_human_HF_CM,284.09
GSE168742_human_HF_CM,153.624
GSE168742_human_HF_CM,56.0529
GSE168742_human_HF_CM,191.075
GSE168742_human_HF_CM,13.1069
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,327.491
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,85.0546
GSE168742_human_HF_CM,482.893
GSE168742_human_HF_CM,283.564
GSE168742_human_HF_CM,2.237
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,16.4274
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,281.808
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,33.3903
GSE168742_human_HF_CM,33.8321
GSE168742_human_HF_CM,120.795
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,93.8621
GSE168742_human_HF_CM,305.035
GSE168742_human_HF_CM,0
