cell_id,ndufb7_expression,cell_type
SC_92563_28_24,7,N_LA_CM
SC_92563_28_30,0,N_LA_CM
SC_92563_29_55,24,N_LA_CM
SC_92563_29_50,51,N_LA_CM
SC_92563_29_3,52,N_LA_CM
SC_92563_29_10,34,N_LA_CM
SC_92563_30_33,11,N_LA_CM
SC_92563_30_34,0,N_LA_CM
SC_92563_29_6,2,N_LA_CM
SC_92563_30_29,20,N_LA_CM
SC_92563_30_24,17,N_LA_CM
SC_92563_29_1,27,N_LA_CM
SC_92563_29_7,0,N_LA_CM
SC_92563_29_2,7,N_LA_CM
SC_92563_31_3,19,N_LA_CM
SC_92563_31_54,0,N_LA_CM
SC_92563_31_49,16,N_LA_CM
SC_92563_31_1,1,N_LA_CM
SC_92563_32_21,0,N_LA_NCM
SC_92563_32_15,4,N_LA_NCM
SC_92563_32_65,0,N_LA_NCM
SC_92563_32_17,7,N_LA_NCM
SC_92563_32_18,6,N_LA_NCM
SC_92563_32_14,0,N_LA_NCM
SC_92563_33_39,0,N_LA_NCM
SC_92563_33_46,2,N_LA_NCM
SC_92563_34_63,0,N_LA_NCM
SC_92563_34_64,0,N_LA_NCM
SC_92563_34_70,115,N_LA_NCM
SC_92563_33_41,0,N_LA_NCM
SC_92563_34_71,4,N_LA_NCM
SC_92563_33_37,1,N_LA_NCM
SC_92563_33_43,1,N_LA_NCM
SC_92563_34_61,15,N_LA_NCM
SC_92563_34_15,0,N_LA_NCM
SC_92563_34_17,0,N_LA_NCM
SC_92563_34_12,21,N_LA_NCM
SC_92563_34_18,0,N_LA_NCM
SC_92563_35_41,12,N_LA_NCM
SC_92563_35_42,0,N_LA_NCM
SC_92563_34_14,25,N_LA_NCM
SC_92563_35_37,0,N_LA_NCM
SC_92563_35_44,0,N_LA_NCM
SC_92563_36_63,0,N_LA_NCM
SC_92563_36_21,0,N_LA_NCM
SC_92563_36_60,21,N_LA_NCM
SC_92563_36_17,0,N_LA_NCM
SC_92563_36_12,1,N_LA_NCM
SC_92563_36_67,1,N_LA_NCM
SC_92563_36_13,2,N_LA_NCM
SC_92563_32_46,2,N_LA_NCM
SC_92563_33_70,0,N_LA_NCM
SC_92563_32_41,0,N_LA_NCM
SC_92563_32_36,0,N_LA_NCM
SC_92563_33_66,0,N_LA_NCM
SC_92563_32_44,0,N_LA_NCM
