"Gene","Expression"
"ETFDH",0.853201829616924
"PHKB",0.85305889079474
"BACH1",0.851200686106346
"WNK2",0.850914808461978
"ZNF292",0.849199542595769
"VWF",0.849056603773585
"FAM13B",0.848913664951401
"FTO",0.848056032018296
"FRMD4B",0.847627215551744
"APP",0.847198399085192
"JPX",0.84576901086335
"ARHGAP31",0.845626072041166
"TMCC1",0.845483133218982
"SETD5",0.844768439108062
"COX4I1",0.844768439108062
"TJP1",0.844482561463693
"GMDS-AS1",0.843481989708405
"SLC7A6",0.842195540308748
"NSMCE2",0.842052601486564
"GPC5",0.841766723842196
"P4HA1",0.841194968553459
"LYPLAL1",0.839765580331618
"PPP3CC",0.83947970268725
"GBF1",0.838479130931961
"ECHDC2",0.836477987421384
"PCBP2",0.836477987421384
"TDRD3",0.836192109777015
"PRR16",0.835334476843911
"SDCCAG8",0.834905660377358
"SENP6",0.829473985134363
"HERC4",0.828473413379074
"FBXO32",0.828044596912521
"ATP2B4",0.82590051457976
"MON2",0.824614065180103
"CREB5",0.822898799313894
"ABHD2",0.822469982847341
"AP000769.1",0.821755288736421
"BRWD1",0.821183533447684
"ACO2",0.8210405946255
"PPP1R12A",0.82032590051458
"PKN2",0.819611206403659
"ZRANB2",0.818753573470555
"SRPK2",0.818753573470555
"GATA4",0.81861063464837
"APOD",0.818324757004002
"RHOBTB3",0.818181818181818
"ATP5G3",0.818038879359634
"FIGN",0.814036592338479
"AC098617.1",0.813321898227559
"RNF115",0.81303602058319
"CSDC2",0.812607204116638
"UBE2H",0.812035448827902
"EXOG",0.811892510005718
"ATP2C1",0.810606060606061
"SCN5A",0.810177244139508
"ANKRD10",0.809605488850772
"PLPP3",0.809319611206404
"RP11-701H24.9",0.80917667238422
"ZNF148",0.808176100628931
"TBC1D1",0.807890222984563
"FAM110B",0.80746140651801
"KDM6A",0.806603773584906
"MPC1",0.806032018296169
"ITM2B",0.806032018296169
"CSNK1E",0.805746140651801
"DYRK1A",0.805174385363065
"SPIDR",0.804602630074328
"GPAT3",0.804173813607776
"DLG1",0.803744997141224
"FER",0.803459119496855
"DENND5B",0.803173241852487
"MT-ND4L",0.802172670097198
"CDK6",0.801743853630646
"HOOK2",0.801029159519726
"OSBPL8",0.800743281875357
"WDFY3",0.800457404230989
"NR3C1",0.799313893653516
"USP13",0.798170383076043
"GAPDH",0.797455688965123
"MAST2",0.797026872498571
"TRIM54",0.796455117209834
"B2M",0.79631217838765
"GTF2I",0.796169239565466
"ANO5",0.796026300743282
"SRRM2",0.796026300743282
"TMEM164",0.79559748427673
"TOM1L2",0.7931675242996
"MARCH3",0.792881646655232
"BRE",0.792452830188679
"PDE1A",0.791309319611206
"CDKAL1",0.790165809033734
"PCNXL4",0.788879359634077
"CST3",0.785305889079474
"TSPAN9",0.784734133790738
"CRIP2",0.784448256146369
"PDE8A",0.784162378502001
"PHIP",0.783876500857633
"TBC1D8",0.783304745568897
"EIF4G3",0.782875929102344
"RP11-141M1.3",0.782875929102344
"FTH1",0.782590051457976
"PHF21A",0.78201829616924
"NCOA3",0.78201829616924
"OGT",0.781732418524871
"ZSWIM6",0.780588907947399
"NCOR1",0.780160091480846
"TRAPPC9",0.778873642081189
"ANKS1A",0.778444825614637
